Dataset,"Image Resolution",EVA-01-CLIP-g/14,,EVA-01-CLIP-g/14+,,EVA-02-CLIP-B/16,,EVA-02-CLIP-E/14,,EVA-02-CLIP-E/14+,,EVA-02-CLIP-L/14,,EVA-02-CLIP-L/14+ ,,EVA-CLIP-8B,
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
,32,60.92,88.45,66.96,92.41,58.190,87.000,71.18,94.22,68.54,92.82,66.91,91.550,65.940,90.92,69.25,92.62
,16,29.87,56.38,40.09,68.56,29.270,57.160,44.67,71.41,44.04,71.75,38.11,65.370,34.450,60.66,38.4,65.65
Stanford Cars (360×240),224 (original),89.32,99.65,90.72,99.84,78.600,98.520,94.39,99.93,94.63,99.86,90.50,99.690,91.640,99.85,94.84,99.86
,128,88.89,99.54,90.36,99.85,77.130,98.300,94.29,99.91,94.57,99.88,90.06,99.750,91.150,99.76,94.57,99.88
,64,85.59,99.27,87.8,99.59,73.260,97.110,93.57,99.88,93.72,99.86,87.63,99.340,88.310,99.33,93.6,99.75
,32,71.06,94.59,75.65,96.84,54.890,87.380,89.12,99.28,89.33,99.27,75.44,96.780,75.180,96.22,85.39,97.87
,16,27.86,58.05,36.03,68.03,16.730,44.040,52.47,81.82,53.4,82.43,34.80,66.870,31.740,62.23,41.61,69.71
FGVC Aircraft,224 (original),28.56,67.6,39.51,81.79,24.960,66.580,49.02,91.81,53.89,94.87,36.33,80.440,37.920,82.51,60.25,97.9
,128,28.11,67.78,38.28,79.63,23.280,64.000,47.76,91.36,53.62,95.08,33.30,79.030,36.030,81.28,57.79,97.9
,64,25.62,61.12,31.89,69.55,20.160,53.080,46.32,88.12,50.8,92.32,28.83,71.800,29.970,73.06,56.68,97.18
,32,18.75,45.69,22.77,53.83,13.800,38.430,36.27,77.17,39.9,81.49,19.89,52.600,19.980,51.7,49.08,90.46
,16,6.33,22.14,11.28,30.27,5.340,18.690,16.74,44.31,19.89,47.13,9.36,28.740,8.340,26.82,23.67,56.23
Oxford Pets,224 (original),93.7,99.84,94.77,99.92,92.230,99.810,95.69,99.86,95.78,99.92,93.92,99.890,94.000,99.92,96.38,99.86
,128,93.13,99.89,94.71,99.95,92.640,99.860,95.83,99.86,95.99,99.92,93.27,99.890,93.890,99.92,95.99,99.92
,64,91.44,99.78,93.57,99.89,90.320,99.670,95.53,99.89,95.28,99.92,92.56,99.920,92.940,99.84,95.5,99.89
,32,83.84,98.75,89.72,99.62,82.530,98.530,92.23,99.73,92.75,99.81,88.20,99.560,87.490,99.45,90.68,99.48
,16,56.72,86.37,70.81,93.62,51.840,84.710,75.66,95.23,77.9,95.58,64.84,91.470,59.250,87.19,66.42,90.13
Flowers102,224 (original),72.08,90.32,79.67,92.01,75.980,88.290,82.6,94.89,84.34,95.35,76.96,91.140,77.380,91.77,86.14,95.61
,128,72.47,90.8,79.05,91.64,75.360,88.230,83.15,94.13,82.83,95.51,77.75,91.450,77.560,91.98,84.83,95.93
,64,70.66,89.56,78.68,90.54,74.290,87.200,82.7,93.35,83.22,95.28,77.00,91.190,76.600,91.41,84.66,95.82
,32,62.76,84.79,72.87,87.56,67.310,84.160,80.16,91.77,79.66,92.97,73.46,88.450,72.580,87.79,80.81,93.89
,16,40.25,66.78,51.99,74.58,44.300,67.280,64.47,82.35,66.47,84.32,55.60,76.740,51.910,73.88,60.64,79.85
EuroSAT,224 (original),69.96,98.09,73.94,97.81,67.560,97.720,76.31,99.11,76.31,99.5,70.06,98.570,71.940,98.26,71.07,98.5
,128,70.22,98.33,73.52,97.83,68.200,97.940,76.3,99.41,76.57,99.54,69.59,98.570,71.740,98.35,70.2,98.33
,64,70.24,97.83,73.94,97.81,67.560,97.720,76.31,99.11,76.31,99.5,70.06,98.570,71.650,98.15,71.07,98.5
,32,57.19,94.35,61.56,96.15,59.350,96.500,60.52,96.19,69.22,98.28,58.50,96.280,59.130,95.48,58.13,95.31
,16,35.61,79.44,41.2,90.15,33.000,89.090,33.81,79.67,39.37,87.3,33.24,85.240,32.610,82.5,39.02,85.65
UCF101,224 (original),74.17,91.62,77.43,94.69,68.780,89.510,80.41,95.85,82.61,96.46,75.50,93.810,76.210,94.03,83.29,96.75
,128,73.59,91.22,77.13,94.58,69.260,89.270,80.76,95.61,82.58,96.09,75.02,93.210,75.810,94.08,82.58,96.56
,64,69.44,89.9,74.97,92.99,67.570,87.440,78.35,94.95,80.28,95.85,72.96,92.200,72.910,92.41,80.23,95.16
,32,59.21,83.4,67.86,88.45,57.280,80.990,71.37,92.07,73.04,93.1,65.50,87.580,64.870,86.97,70.9,90.14
,16,30.61,55.62,43.06,69.63,30.740,56.330,46.21,73.01,47.87,73.51,42.74,68.310,40.660,66.03,42.93,67.3
