Dataset,"Image Resolution",ViT-B/32,,ViT-B/16,,ViT-L/14,,ViT-L/14@336px,,RN50,,RN101,,RN50x4,,RN50x16,,RN50x64,
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
,16,11.09,30.13,13.22,33.83,15.66,35.01,15.63,35.2,2.84,12.43,4.35,15.86,4.72,16.46,3.88,14.53,6.81,19.59
SUN397,224 (original),62.84,91.1,65.19,92.11,67.96,93.63,69.15,93.93,59.92,89.39,59.35,88.89,62.63,90.86,64.93,91.57,67.18,93.24
,128,61.17,90.41,63.51,91.42,66.82,92.91,67.68,93.31,56.51,87.32,56.43,87.14,58.47,88.57,61.31,89.86,64.35,91.89
,64,54.71,86.1,57.74,87.88,63.21,91.1,63.81,91.42,42.91,76.2,45.63,78.86,47.73,79.94,51.73,83.16,57.23,87.68
,32,37.86,69.49,39.67,71.38,49.87,80.76,49.3,80.28,18.35,42.52,22.25,48.28,21.44,47.72,27.18,55.68,33.37,63.5
,16,12.86,31.4,13.88,33.54,20.37,42.74,19.08,40.77,2.9,9.24,2.79,9.51,3.37,11.14,4.75,13.68,6.26,18.21
"Stanford Cars 
360×240",224 (original),59.31,91.41,64.68,94.28,77.8,98.35,79.54,98.71,54.45,88.87,60.93,92.46,66.86,95,72.84,96.89,75.97,97.86
,128,57.36,90.05,61.62,92.77,75.29,97.65,75.92,97.87,50.32,85.52,58.67,91.27,61.96,93.36,67.49,94.69,69.98,96.13
,64,47.15,82.66,50.89,86.74,67.34,94.88,66.34,94.73,33.11,68.42,44.21,82.55,45.52,81.95,51.03,86.16,56.41,90.26
,32,24.61,56.73,26.58,61.45,42.25,78.34,41.39,76.38,10.37,29.04,16.65,44.45,14.25,39.29,18.26,47.52,25.64,58.84
,16,3.63,13.01,5.16,16.37,9.24,28.98,8.07,25.33,0.99,4.81,1.11,5.87,1.69,6.68,1.53,6.84,2.46,10
