Dataset,"Image 
Resolution","MetaCLIP-
ViT-B/32 (400M)",,"MetaCLIP-
ViT-B/32 (2.5B)",,"MetaCLIP-
ViT-B/16 (400M)",,"MetaCLIP-
ViT-B/16 (2.5B)",,"MetaCLIP-
ViT-L/14 (400M)",,"MetaCLIP-
ViT-L/14 (2.5B)",,"MetaCLIP-
ViT-H/14 (2.5B)",,"MetaCLIP-
ViT-G/14 (2.5B)",
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
,64,55.5,86.08,62.73,90.26,58.72,87.86,63.41,91.3,65.01,91.43,71.58,94.91,73.3,95.07,72.93,95.17
,32,34.68,64.97,47.96,78.44,34.63,65.35,48.07,79.43,45.57,75.38,57.97,86,61.77,87.92,62.95,88.83
,16,14.44,35.29,17.54,39.86,13.74,33.5,22.17,47.66,18.5,39.77,34.44,63.19,37.91,65.44,40.63,68.42
"Stanford Cars 
360×240",224 (original),70.73,96.41,77.33,98.01,74.28,97.87,82.96,98.99,84.64,99.29,88.76,99.81,89.89,99.84,90.71,99.85
,128,68.45,95.71,75.95,97.65,71.88,96.97,80.75,98.89,82.66,99.15,87.61,99.73,89.52,99.78,90.62,99.8
,64,54.25,88.55,67.83,95.04,58.67,90.98,73.19,97.26,74.58,97.33,83.93,99.28,86.3,99.55,87.68,99.56
,32,22.01,55.03,46.69,81.51,23.77,56.68,49.17,84.01,42.69,78.66,62.52,92.09,68.16,94.44,73.6,95.67
,16,4.12,15.37,6.96,22.85,3.27,12.5,10.42,31.84,6.99,22.41,23.82,52.84,26.9,55.75,31.23,61.65
FGVC Aircraft,224 (original),26.91,62.68,27.15,64.24,28.32,67,30.6,70.96,40.02,83.02,45.27,89.68,51.1,93.1,52.81,95.11
,128,24.39,56.59,27.27,63.7,27.21,64.6,30.54,70.96,36.81,78.94,44.46,88.51,51.52,92.32,51.43,94.33
,64,15.72,38.64,21.54,51.58,18.12,46.41,26.64,64,30.24,65.77,39.18,83.05,46.71,87.1,47.67,89.56
,32,7.56,22.17,11.73,30.6,9.36,24.36,12.99,39.51,14.7,37.47,23.28,57.43,26.82,61.72,30.99,67.87
,16,4.65,14.97,4.5,17.73,3.45,12.78,5.67,18.9,4.14,16.02,11.58,34.29,13.05,34.35,16.92,42.51
Oxford Pets,224 (original),88.72,99.62,90.92,99.75,90.46,99.78,91.71,99.86,93.7,99.81,94.69,99.86,95.5,99.92,96.21,99.95
,128,87.71,99.51,89.18,99.73,90.22,99.75,91.2,99.84,92.64,99.78,94.82,99.86,95.48,99.95,95.56,99.95
,64,81.33,98.26,85.39,99.05,84.03,98.94,88.23,99.54,90.46,99.26,92.2,99.7,93.89,99.7,94.69,99.89
,32,58.44,89.48,69.53,95.58,56.12,87.57,75.01,96.48,73.02,95.8,80.4,97.27,84.38,98.45,87.82,98.77
,16,33.91,70.29,32.6,64.46,27.31,60.81,46.12,80.27,40.99,73.18,55.6,84.6,59.14,85.96,67.68,90.38
Flowers102,224 (original),71.25,87.07,70.69,87.79,74.19,88.58,75.18,87.45,77.74,92,82.62,94.47,84.84,95.97,90.34,98.57
,128,70.61,87.17,70.71,88.44,73.36,88.75,75.64,87.97,75.57,90.8,82.31,94.57,84.47,96.03,88.79,98.16
,64,64.76,84.96,65.8,85.98,68.19,86.23,69.26,85.3,71.88,88.63,79,93.98,80.05,94.63,86.58,97.77
,32,43.49,73,52.94,77.82,44.27,73.2,55,78.26,55.99,77.51,64.48,88.16,68.45,89.54,77.2,94.1
,16,22.33,50.48,17.84,43.52,15.79,40.85,29.7,57.78,27.48,53.39,40.01,67.91,46.67,71.56,57.15,78.89
EuroSAT,224 (original),51.17,92.31,49.06,91.98,52.63,95.93,50.91,96.37,59.46,95.65,58.11,94.69,64.07,94.26,73.96,98.52
,128,51.26,92.3,50.15,91.91,49.24,95.02,50.91,96.17,61.5,96.15,60.04,94.96,64.89,94.8,75.07,98.56
,64,51.17,92.31,49.06,91.98,52.63,95.93,50.91,96.37,59.46,95.65,58.11,94.69,64.07,94.26,73.96,98.52
,32,40.87,86.48,32.37,89.5,33.57,91.24,39.7,85.61,41.72,88.33,33.41,83.7,44.7,85.54,53.07,90.91
,16,27.33,78.37,18.15,70.69,22.3,75.93,26.22,71.57,26.83,80.96,19.69,69.3,23.06,70.87,28.41,78.93
UCF101,224 (original),64.68,87.71,66.75,89.56,67.94,88.87,70.63,91.36,73.54,91.96,79.17,94.92,79.33,95.14,83.27,96.25
,128,63.71,88.26,67.09,89.51,68.57,88.92,70.9,91.14,73.75,91.88,79.51,94.53,79.78,95.22,82.95,96.27
,64,58.13,83.98,64.02,88.37,59.37,83.93,67.43,89.21,68.91,88.77,76.13,93.37,76.55,93.84,79.38,94.87
,32,38.83,68.52,51.65,78.27,36.72,64.18,52.89,78.72,51.23,75.79,61.09,83.77,64.6,85.99,66.4,86.76
,16,19.61,43.43,22.79,45.1,15.62,37.06,24.43,50.12,22.1,45.76,36.24,62.28,38.75,66.3,44.38,68.99
