Dataset,"Image Resolution",BLIP-ViT-B/16 (4M),,BLIP-ViT-B/16 (129M),,BLIP-ViT-B/16 & CapFilt-L (129M),,BLIP-ViT-L/16 (129M),,"BLIP-ViT-B/16 
(129M + COCO)",,"BLIP-ViT-B/16 
(129M + Flickr)",,"BLIP-ViT-L/16 
(129M + COCO)",,"BLIP-ViT-L/16 
(129M + Flickr)",
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
,64,35.02,65.52,35.92,65.61,40.93,71.85,53.66,83.07,47.64,79.28,44.18,76.78,56.41,86.91,55.71,85.93
,32,13.51,32.79,16.74,37.24,20.24,44.31,37.71,66.86,24.36,51.3,21.6,46.73,40.22,71.84,38.55,69.14
,16,5.36,15.75,6.12,17.35,7.87,21.4,17.17,37.73,6.77,19.66,6.52,18.94,17.31,39.06,15.89,36.9
"Stanford Cars 
360×240",224,22.44,57.94,60.29,93.83,61.8,93.82,69.07,95.9,64.97,95.03,62.9,94.06,68.36,95.59,70.02,96.17
,128,17.72,48.78,52.98,88.75,54.52,89.96,66,94.06,59.67,92.1,55.75,89.85,64.48,93.98,66.02,94.58
,64,7.7,25.47,26.81,62.27,30.71,67.75,51.18,85.39,40.27,78.14,36.24,73.25,49,85.49,51.05,86
,32,2.29,10.2,6.29,20.72,8.16,25.3,24.44,56.41,10.3,30.1,9.51,27.93,20.98,51.56,23.8,53.77
,16,0.96,4.38,1.22,5.56,2.23,8.94,4.95,16.47,1.28,4.96,1.02,5.38,3.99,13.89,4.54,14.82
FGVC Aircraft,224,6.6,23.79,3.78,15.96,5.01,17.19,5.34,18.21,5.31,18.84,4.8,18.39,6.84,21.78,5.94,18.66
,128,5.97,22.32,4.35,15.27,4.32,15.81,5.76,18.03,5.07,19.11,4.98,18.33,6.27,20.37,4.89,16.89
,64,4.8,18.9,3.78,13.23,3.78,12.42,5.04,15.84,5.04,17.97,4.86,16.56,5.13,17.97,4.71,15.39
,32,2.85,12.3,1.95,9.84,2.61,9.63,3.42,12.57,3.36,13.11,3.66,11.55,3.57,14.22,2.82,12.03
,16,1.56,7.89,1.2,7.14,1.38,6.45,2.01,9.06,1.41,7.62,1.77,8.43,2.28,9.69,1.89,8.07
Oxford Pets,224,62.85,93.65,61.87,93.89,64.32,93.38,71.57,97.3,68.93,98.28,69.12,96.67,76.48,98.58,78,98.2
,128,59.17,91.85,57.51,91.41,61.6,91.96,72.06,96.92,66.09,97.27,64.95,95.2,74.13,97.33,75.5,97.33
,64,47.07,80.92,46.5,83.89,55.06,87.71,66.07,93.32,56.36,92.29,53.39,90.38,67.27,93.65,68.17,93.62
,32,22.89,56.26,25.21,57.24,35.76,68.96,50.97,83.7,34.29,72.83,27.75,67.51,50.56,81.85,50.2,81.52
,16,6.73,28.92,7.5,24.31,14.94,39.33,25.48,54.92,11.45,37.31,9.24,31.32,25.18,55.41,22.7,52.77
Flowers102,224,38.93,63.98,37.47,60.5,50.22,71.04,61.26,80.06,47.29,67.65,40.95,64.35,65.12,79.2,65.33,81.04
,128,35.91,60.94,36.04,59.91,46.72,68.04,60.11,79.46,45.96,66.68,38.71,62.34,63.49,78.18,63.44,79.92
,64,26.25,52.5,29.06,53.57,36.02,59.49,54.68,74.26,39.18,61.8,32.09,55.59,57.49,72.66,57.13,74.71
,32,16.73,38.46,17.91,37.79,20.93,45.49,43.96,63.54,20.6,43.88,18.54,40.04,44.77,61.15,41.54,62.16
,16,9.37,26.17,7.64,22.23,10.78,28.31,26.22,45.83,9.48,27.45,7.84,24.61,21.32,39.06,18.98,37.11
EuroSAT,224,38.22,86.41,31.28,82.63,24.44,74.57,41.15,87.96,43.04,80.89,39.02,84.02,55.65,87.02,50.07,92.89
,128,38.89,86.87,32.57,83.65,26,75.43,41.39,88.72,43.28,80.94,38.85,83.61,55.96,87.06,50.7,93.17
,64,37.41,86.06,32.63,83.7,24.69,75.61,41.06,88.98,42.74,80.72,37.19,83.83,55.54,87.19,49.78,92.94
,32,26.72,73.31,18.94,69.61,19.43,71.15,30.46,83.93,27.2,70.57,29.67,74.52,47.5,80.06,41.37,86.69
,16,21.89,63.91,14.39,54.65,13.17,61.44,26.2,75.41,16.33,62.7,15.11,67.17,31.39,68.8,27.59,71.83
UCF101,224,49.41,72.64,54.32,77.16,53.34,76.76,63.81,81.71,59.4,81.63,58.76,81.97,64.95,83.77,65.85,84.48
,128,47.9,71.29,48.3,73.12,49.41,73.88,60.24,80.25,57.23,80.41,57.47,80.97,63.81,82.84,64.08,83.35
,64,37.56,61.64,39.07,66.46,42.43,68.62,54.4,74.07,50.65,74.86,49.27,74.73,57.84,77.82,57.57,78.03
,32,15.86,36.14,20.35,43.93,25.17,49.62,40.44,62.52,28.95,54.9,30.93,54.48,42.29,65.82,43.62,66.75
,16,6.58,17.82,8.22,22.2,9.99,24.8,19.32,37.11,9.99,26.12,8.93,24.69,19.53,39.49,18.29,39.18
