Dataset,"Image 
Resolution",OpenCLIP-ViT-B/16,,OpenCLIP-ViT-B/32@256px,,"OpenCLIP-ViT-L/14
(laion2b_s32b_b82k)",,"OpenCLIP-ViT-L/14
(datacomp_xl_s13b_b90k)",,OpenCLIP-ViT-H/14,,OpenCLIP-ViT-H/14-quickgelu,,"OpenCLIP-
ViT-H/14-quickgelu@336px",,OpenCLIP-ViT-G/14,
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
,64,65.42,92.21,64.69,91.49,68.1,93.4,70.76,94.75,71.64,94.44,73.36,95.55,73.93,95.8,71.99,94.76
,32,53.27,83.6,54.29,84.17,53.31,81.99,62.72,89.76,61.29,88.59,65.03,90.73,64.84,90.72,62.48,89
,16,24.69,50.9,26.82,54.46,20.32,42.97,33.12,61.33,28.66,55.23,32.72,59.82,31.64,59.02,29.23,55.41
"Stanford Cars 
360×240",224 (original),89.7,99.64,89.12,99.43,92.39,99.7,93.61,99.89,94.14,99.88,95.78,99.95,95.9,99.95,94.71,99.89
,128,83.85,98.89,87.55,99.19,90,99.38,91.02,99.73,92.36,99.78,95.31,99.93,95.46,99.95,94.2,99.84
,64,75.53,96.58,81.77,97.89,83.98,97.86,85.67,98.77,88.51,99.17,93.94,99.74,94.13,99.81,92.45,99.61
,32,48.51,79.78,56.83,85.71,57.08,84.98,65.45,89.94,66.57,90.21,83.57,96.43,83.58,96.56,78.42,94.38
,16,8.64,26.17,12.15,33.12,10.72,28.84,16.03,38.13,16.22,38.73,29.85,56.5,29.56,54.86,24.77,49.02
FGVC Aircraft,224 (original),34.65,75.61,36.99,75.82,36.54,75.76,49.92,90.61,46.41,87.76,71.44,98.02,68.47,97.09,53.41,94.27
,128,34.2,72.97,34.92,73.18,35.13,72.4,47.1,89.14,43.26,84.43,65.41,95.95,65.92,96.61,48.45,92.17
,64,28.53,62.02,28.83,62.8,27.39,63.01,40.11,83.44,36.39,77.02,59.44,93.55,61.69,93.7,45.12,84.76
,32,18.66,47.4,17.43,46.26,16.68,42.99,28.47,64.69,24.21,56.5,43.2,77.74,39.9,76.03,32.28,69.07
,16,6.93,23.61,8.04,24.42,5.61,18.93,12.51,32.43,8.28,24.06,16.26,37.83,15.96,39,13.86,34.56
Oxford Pets,224 (original),92.4,99.73,89.64,99.75,92.8,99.73,95.01,99.92,94.47,99.86,96.48,99.92,96.92,99.92,95.37,99.84
,128,89.92,99.73,88.42,99.54,90.87,99.56,93.87,99.92,93.19,99.81,95.94,99.95,96.38,99.95,93.98,99.89
,64,87.27,99.18,85.2,98.99,87.79,98.99,91.58,99.78,90.95,99.56,93.89,99.78,94.69,99.92,92.4,99.67
,32,75.58,96.35,74.11,95.61,70.7,93.95,83.81,98.72,80.16,97.57,87,98.58,86.89,98.75,84.33,98.23
,16,46.09,79.31,44.13,78.71,29.25,62.01,52.19,84.96,43.15,76.67,56.72,83.86,56.45,83.81,48.24,79.89
Flowers102,224 (original),75.49,91.22,77.31,92.06,74.21,88.6,81.49,94.02,79.51,92.78,92.6,98.65,91.28,98.62,81.15,95.01
,128,75,91.2,77.3,92.13,73.56,88.36,81.49,93.04,80.09,92.55,92.01,98.65,91.49,98.68,81.25,94.96
