Model,imagenet-sketch_Relative-Robustness,imagenet-sketch_Improved-Relative-Robustness,food101_Relative-Robustness,food101_Improved-Relative-Robustness,caltech101_Relative-Robustness,caltech101_Improved-Relative-Robustness,fgvc_aircraft_Relative-Robustness,fgvc_aircraft_Improved-Relative-Robustness,imagenet_Relative-Robustness,imagenet_Improved-Relative-Robustness,oxford_pets_Relative-Robustness,oxford_pets_Improved-Relative-Robustness,stanford_cars_Relative-Robustness,stanford_cars_Improved-Relative-Robustness,ucf101_Relative-Robustness,ucf101_Improved-Relative-Robustness,sun397_Relative-Robustness,sun397_Improved-Relative-Robustness,imagenet-a_Relative-Robustness,imagenet-a_Improved-Relative-Robustness,imagenet-r_Relative-Robustness,imagenet-r_Improved-Relative-Robustness,eurosat_Relative-Robustness,eurosat_Improved-Relative-Robustness,flowers102_Relative-Robustness,flowers102_Improved-Relative-Robustness,dtd_Relative-Robustness,dtd_Improved-Relative-Robustness,imagenet-v2_Relative-Robustness,imagenet-v2_Improved-Relative-Robustness,SAR_Relative-Robustness,WAR_Improved-Relative-Robustness
CLIPA-ViT-H/14@336px (DataComp-1B),0.7695942190105616,0.7695942190105616,0.857859353324085,0.857859353324085,0.9761405059096433,0.9761405059096433,0.6559546313799622,0.6559546313799622,0.8205412054120541,0.8205412054120541,0.9266791823112224,0.9266791823112224,0.9130342784595853,0.9130342784595853,0.8694747789911595,0.8694747789911595,0.8834057112777998,0.8834057112777998,0.29955730447614365,0.29955730447614365,0.8539577554939194,0.8539577554939194,0.7961976091026933,0.7961976091026933,0.9241420118343195,0.9241420118343195,0.7151889841225235,0.7151889841225235,0.7592641609317099,0.7592641609317099,0.8013994461358256,0.6708128724233133
CLIPA-ViT-L/14,0.7732874749211809,0.7732874749211809,0.840571861800065,0.840571861800065,0.9673446948873007,0.9673446948873007,0.6193415637860082,0.6193415637860081,0.8029655692385022,0.8029655692385022,0.9234006734006734,0.9234006734006734,0.8872847823762164,0.8872847823762164,0.8408823913327242,0.8408823913327242,0.877953813104189,0.877953813104189,0.2925271739130435,0.2925271739130435,0.8404324324324324,0.8404324324324324,0.780305492362691,0.780305492362691,0.9314406149268535,0.9314406149268535,0.7686771268173312,0.7686771268173312,0.7602138744173293,0.7602138744173293,0.7937753026477695,0.663252421964521
EVA-01-CLIP-g/14,0.6086201452478686,0.6086201452478686,0.7829915292019617,0.7829915292019617,0.9357798165137614,0.9357798165137614,0.6565126050420168,0.6565124426915984,0.7797634691195796,0.7797634691195796,0.8947705442902881,0.8947705442902881,0.7955665024630543,0.7955665024630543,0.7983011999460699,0.7983011999460699,0.8472878998609179,0.8472878998609179,0.25681114551083595,0.25681114551083595,0.7873962771921955,0.7873962771921955,0.8174671240708977,0.8174671240708977,0.8706992230854605,0.8706992230854605,0.7383760107816711,0.7383760107816711,0.7386066763425253,0.7386066763425253,0.753930011244607,0.6565382591056502
EVA-02-CLIP-L/14+ ,0.6394607132502174,0.6394607132502174,0.8176897261015481,0.8176897261015481,0.968546518044366,0.968546518044366,0.5268987341772152,0.5268987341764747,0.8323966529286876,0.8323966529286876,0.9307446808510638,0.9307446808510638,0.8203841117415976,0.8203841117415976,0.851200629838604,0.851200629838604,0.8794345158708988,0.8794345158708988,0.3130187043230521,0.3130187043230521,0.8192563937244788,0.8192563937244788,0.8219349457881568,0.8219349457881568,0.937968467304213,0.937968467304213,0.7001557632398754,0.7001557632398754,0.7945709998635929,0.7945709998635929,0.7769107704698378,0.653246705751558
EVA-02-CLIP-B/16,0.6012471851723541,0.6012471851723541,0.7599543639475185,0.7599543639475185,0.9613912651958576,0.9613912651958576,0.5528846153846154,0.5528790170298628,0.7845289079229122,0.7845289079229122,0.8948281470237449,0.8948281470237449,0.6983460559796438,0.6983460559796438,0.8328002326257633,0.8328002326257633,0.822589765337857,0.822589765337857,0.2752736041550733,0.2752736041550733,0.7592434411226358,0.7592434411226358,0.8784783895796329,0.8784783895796329,0.885891023953672,0.885891023953672,0.7175109087459685,0.7175109087459685,0.7386244964941071,0.7386244964941071,0.7442394935094239,0.64810953417022
CLIPA-ViT-H/14@336px (LAION-2B),0.7004634994206257,0.7004634994206257,0.7915657344197314,0.7915657344197314,0.954540439148185,0.954540439148185,0.5445292620865141,0.5445292620574272,0.7736353225601221,0.7736353225601221,0.9127026168026274,0.9127026168026274,0.8816793893129772,0.8816793893129772,0.8291878172588834,0.8291878172588834,0.8673523911301096,0.8673523911301096,0.2550537634408602,0.2550537634408602,0.8129011204177091,0.8129011204177091,0.84609375,0.84609375,0.8829109973786045,0.8829109973786045,0.6961918194640337,0.6961918194640337,0.7317751808569839,0.7317751808569839,0.7653722069131977,0.6423745357083737
OpenCLIP-ViT-L/14 (datacomp_xl_s13b_b90k),0.6651675612940664,0.6651675612940664,0.8431668644159207,0.8431668644159207,0.9398280802292265,0.9398280802292265,0.5703125,0.5703125,0.7726872246696035,0.7726872246696035,0.8821176718240185,0.8821176718240185,0.6991774383078732,0.6991774383078732,0.8077237991266375,0.8077237991266375,0.8502101125118612,0.8502101125118612,0.29742214275070783,0.29742214275070783,0.781868131868132,0.781868131868132,0.7837235228539576,0.7837235228539576,0.8856301386673212,0.8856301386673212,0.7300300300300301,0.7300300300300301,0.7098337950138504,0.7098337950138504,0.7479266009042139,0.636955089084412
OpenCLIP-ViT-G/14,0.6441647597254004,0.6441647597254004,0.8045763082986642,0.8045763082986642,0.9597278612970481,0.9597278612970481,0.6043812020220933,0.6043812020220933,0.7559397935066551,0.7559397935066551,0.8842403271469015,0.8842403271469015,0.8280012670256574,0.8280012670256574,0.7910789172703012,0.7910789172703012,0.835070836674686,0.835070836674686,0.26418786692759294,0.26418786692759294,0.7827448439693337,0.7827448439693337,0.8153470326196293,0.8153470326196293,0.872951324707332,0.872951324707332,0.6650303205313312,0.6650303205313312,0.7041275030649775,0.7041275030649775,0.7474380109858402,0.6369274336730195
CLIPA-ViT-L/14@336px,0.7544534701439362,0.7544534701439362,0.8127700950734659,0.8127700950734659,0.9658890845070424,0.9658890845070424,0.5890034364261169,0.5890034364261167,0.7835400225479143,0.7835400225479143,0.91072744499421,0.91072744499421,0.8728360760846335,0.8728360760846335,0.8143958868894602,0.8143958868894602,0.8585777420650863,0.8585777420650863,0.2586050136381348,0.2586050136381348,0.8263731520448905,0.8263731520448905,0.7169623611341402,0.7169623611341402,0.9104957349486958,0.9104957349486958,0.734322220590395,0.734322220590395,0.7389816589104845,0.7389816589104845,0.7698622266665739,0.627522309724471
OpenCLIP-ViT-B/32@256px,0.6445067634444078,0.6445067634444078,0.7666474321984997,0.7666474321984997,0.934399117971334,0.934399117971334,0.4712084347120843,0.4712084347095122,0.7106299212598425,0.7106299212598425,0.8267514502454262,0.8267514502454262,0.6376795332136445,0.6376795332136445,0.7515309246785059,0.7515309246785059,0.786925641397304,0.786925641397304,0.36400882445635047,0.36400882322706796,0.732779677576942,0.732779677576942,0.7999089114923333,0.7999089114923333,0.8471090415211485,0.8471090415211485,0.7275731042458284,0.7275731042458284,0.6622357463164639,0.6622357463164639,0.7109263016486744,0.6214558927738235
MetaCLIP- ViT-G/14 (2.5B),0.7716838487972508,0.7716838487972508,0.7748736151446703,0.7748736151446703,0.960295577368479,0.960295577368479,0.5868206779019125,0.5868206779019125,0.7687713310580204,0.7687713310580204,0.9127949277621868,0.9127949277621868,0.8113769154448242,0.8113769154448242,0.7974060285817223,0.7974060285817223,0.8229833965224214,0.8229833965224214,0.280148185998978,0.280148185998978,0.8352828583581454,0.8352828583581454,0.7175500270416442,0.7175500270416442,0.8545494797431924,0.8545494797431924,0.712324968806322,0.712324968806322,0.7110731194108364,0.7110731194108364,0.7545289971960404,0.6209964382700907
OpenCLIP-ViT-H/14,0.5803360849056604,0.5803360849056604,0.7839506172839507,0.7839506172839507,0.9320845656698433,0.9320845656698433,0.5216548157724629,0.5216548157724629,0.7263764404609475,0.7263764404609475,0.848523340743093,0.848523340743093,0.7071383046526449,0.7071383046526449,0.7684014375083189,0.7684014375083189,0.813836143938388,0.813836143938388,0.28095825259820323,0.28095825259820323,0.7241148964595859,0.7241148964595859,0.8020221341713349,0.8020221341713349,0.8541064017104766,0.8541064017104766,0.6575806689258877,0.6575806689258877,0.6673693086003373,0.6673693086003373,0.7112302275600758,0.6111521415242288
M2-Encoder-1B ,0.546494762288477,0.546494762288477,0.6891288160833954,0.6891288160833954,0.8825274725274725,0.8825274725274725,0.6633663366336634,0.6514038976878725,0.7142174432497013,0.7142174432497013,0.8307960488088321,0.8307960488088321,0.6327017543859649,0.6327017543859649,0.7728125533003581,0.7728125533003581,0.7835199540625898,0.7835199540625898,0.2649708532061473,0.2649708532061473,0.689767064549774,0.689767064549774,0.6965833758286588,0.6965833758286588,0.813751358063014,0.813751358063014,0.6393622869708632,0.6393622869708632,0.6582042455536432,0.6582042455536432,0.6852136217008369,0.5983224584269
OpenCLIP-ViT-B/16,0.5865353567969002,0.5865353567969002,0.7600271155801603,0.7600271155801603,0.9327980642322922,0.9327980642322922,0.5385281385281385,0.5385281384514881,0.6985294117647058,0.6985294117647058,0.8179653679653679,0.8179653679653679,0.5408026755852843,0.5408026755852843,0.7526239067055395,0.7526239067055395,0.7615439599714081,0.7615439599714081,0.2784754351178674,0.2784754351178674,0.7201665675193337,0.7201665675193337,0.7658716239915819,0.7658716239915819,0.8014306530666314,0.8014306530666314,0.6879958606416006,0.6879958606416006,0.6434624697336563,0.6434624697336563,0.6857837738133644,0.5952135337423147
CoCa-ViT-B/32,0.506713368359603,0.506713368359603,0.6492633755492376,0.6492633755492376,0.8958052938537462,0.8958052938537462,0.45468998410174877,0.45393506564700126,0.6592767295597484,0.6592767295597484,0.7623695725345002,0.7623695725345002,0.6362771900629978,0.6362771900629978,0.7671389024588829,0.7671389024588829,0.7295131539159359,0.7295131539159359,0.3330236878773804,0.33297570947778476,0.6957531066502799,0.6957531066502799,0.8042374751710438,0.8042374751591356,0.73721612853391,0.73721612853391,0.6836772983114446,0.6836772983114446,0.6292175161521896,0.6292175161521896,0.6629448522061766,0.5941411547570897
M2-Encoder-10B ,0.5684243565599497,0.5684243565599497,0.7550251256281407,0.7550251256281407,0.9368294285088679,0.9368294285088679,0.5468956406869221,0.5468523258106868,0.7237006001585324,0.7237006001585324,0.8085129310344827,0.8085129310344827,0.7295135135135136,0.7295135135135136,0.7837800497374966,0.7837800497374966,0.7918911637931035,0.7918911637931035,0.2762381548364026,0.2762381548364026,0.7104594781805588,0.7104594781805588,0.7246003094378545,0.7246003094378545,0.8095362167795727,0.8095362167795727,0.6500881834215168,0.6500881834215168,0.6707927677329624,0.6707927677329624,0.6990858613339919,0.5938085370556894
MetaCLIP- ViT-H/14 (2.5B),0.757266411456118,0.757266411456118,0.7243096913914456,0.7243096913914456,0.9533634214485278,0.9533634214485278,0.5248532289628179,0.5248532289628179,0.742548435171386,0.742548435171386,0.8835602094240838,0.8835602094240838,0.7582600956724885,0.7582600956724885,0.8143199294087986,0.8143199294087986,0.8082962575242083,0.8082962575242083,0.2510615711252654,0.2510615711252654,0.8154225654225655,0.8154225654225655,0.6976744186046513,0.6976744186046513,0.8068128241395568,0.8068128241395568,0.6881365262868153,0.6881365262868153,0.686547024693024,0.686547024693024,0.7274955073821168,0.5892951136806205
CoCa-ViT-L/14 (laion2b_s13b_b90k),0.6063138347260909,0.6063138347260909,0.7490129723632262,0.7490129723632262,0.9288381287063474,0.9288381287063474,0.42218543046357615,0.422185430456864,0.7336417713152676,0.7336417713152676,0.8890425531914893,0.8890425531914893,0.7481401617250674,0.7481401617250674,0.8026369444066875,0.8026369444066875,0.8051415287843567,0.8051415287843567,0.25397122033264813,0.25397122033264813,0.7665982203969884,0.7665982203969884,0.7726813789124477,0.7726813789124477,0.8536262572789836,0.8536262572789836,0.6915828142469254,0.6915828142469254,0.6895232489699824,0.6895232489699824,0.7141957643880057,0.5876902606244138
CoCa-ViT-L/14 (laion2b_s13b_b90k + mscoco),0.5662197514715501,0.5662197514715501,0.69137743378885,0.69137743378885,0.9116412635299316,0.9116412635299316,0.4763729246487867,0.47635400298729264,0.6788189631272525,0.6788189631272525,0.8739063867016623,0.8739063867016623,0.6312521169696286,0.6312521169696286,0.7680895731280616,0.7680895731280616,0.724238631622862,0.724238631622862,0.2298624754420432,0.2298624754420432,0.7295206844017345,0.7295206844017345,0.711340206185567,0.711340206185567,0.8106775602197492,0.8106775602197492,0.6111200385666078,0.6111200385666078,0.6385208012326655,0.6385208012326655,0.6701972540691302,0.5522540205868287
SigLIP-ViT-SO400M,0.5732036736898972,0.5732036736898972,0.7719073540399188,0.7719073540399188,0.9299869337979093,0.9299869337979093,0.46930988719309885,0.46930988719309885,0.6749969523345117,0.6749969523345117,0.8031702708377073,0.8031702708377073,0.6177905944986691,0.6177905944986691,0.7069790879314689,0.7069790879314689,0.7426606717799523,0.7426606717799523,0.21797190151620532,0.21797190151620532,0.7419490633550831,0.7419490633550831,0.7027421710206069,0.7027421710206069,0.8278928532697105,0.8278928532697105,0.6152547143259217,0.6152547143259217,0.6099067139666273,0.6099067139666273,0.667048189570486,0.5453826025355789
MetaCLIP- ViT-B/16 (2.5B),0.6441156914893618,0.6441156914893618,0.6048943014705882,0.6048943014705882,0.9222443119063397,0.9222443119063397,0.4245098039215686,0.42450979374566755,0.6365779256794231,0.6365779256794231,0.8179042634391016,0.8179042634391016,0.5926952748312441,0.5926952748312441,0.748831941101515,0.748831941101515,0.6914556962025317,0.6914556962025317,0.18552311435523114,0.18552311435523114,0.7437342607027222,0.7437342607027222,0.7798075034374388,0.7798075034374365,0.7315775472200052,0.7315775472200052,0.6646243147371815,0.6646243147371815,0.5992929603442976,0.5992929603442976,0.6525192607225699,0.5439002226231191
MetaCLIP- ViT-L/14 (2.5B),0.7179115300942712,0.7179115300942712,0.6677940213833734,0.6677940213833734,0.9309901414487785,0.9309901414487785,0.5142478462557986,0.5142478462557986,0.6960090932053549,0.6960090932053549,0.8490864927658677,0.8490864927658677,0.7043713384407391,0.7043713384407391,0.7716306681823923,0.7716306681823923,0.773552175073392,0.773552175073392,0.22412116159510906,0.22412116159510906,0.7927427263811704,0.7927427263811704,0.5749440715883668,0.5749440715883668,0.7804405712902445,0.7804405712902445,0.686822840409956,0.686822840409956,0.646361631753032,0.646361631753032,0.6887350873245232,0.5437222112697748
OpenCLIP-ViT-L/14 (laion2b_s32b_b82k),0.4215934239645906,0.4215934239645906,0.6285484427077347,0.6285484427077347,0.9068839374792153,0.9068839374792153,0.45648604269293924,0.45648604268819415,0.6101535146781578,0.6101535146781578,0.7618534482758621,0.7618534482758621,0.617815780928672,0.617815780928672,0.7226831669244832,0.7226831669244832,0.7259975486858232,0.7259975486858232,0.2207001522070015,0.2207001522070015,0.6326764436296975,0.6326764436296975,0.7609227542817196,0.7609227542817196,0.7536720118582402,0.7536720118582402,0.5786976439790575,0.5786976439790575,0.5712556732223903,0.5712556732223903,0.624662665701039,0.542651653653678
