Model,caltech101_Relative-Robustness,caltech101_Improved-Relative-Robustness,eurosat_Relative-Robustness,eurosat_Improved-Relative-Robustness,stanford_cars_Relative-Robustness,stanford_cars_Improved-Relative-Robustness,imagenet-r_Relative-Robustness,imagenet-r_Improved-Relative-Robustness,oxford_pets_Relative-Robustness,oxford_pets_Improved-Relative-Robustness,imagenet_Relative-Robustness,imagenet_Improved-Relative-Robustness,dtd_Relative-Robustness,dtd_Improved-Relative-Robustness,fgvc_aircraft_Relative-Robustness,fgvc_aircraft_Improved-Relative-Robustness,imagenet-a_Relative-Robustness,imagenet-a_Improved-Relative-Robustness,food101_Relative-Robustness,food101_Improved-Relative-Robustness,imagenet-sketch_Relative-Robustness,imagenet-sketch_Improved-Relative-Robustness,ucf101_Relative-Robustness,ucf101_Improved-Relative-Robustness,sun397_Relative-Robustness,sun397_Improved-Relative-Robustness,flowers102_Relative-Robustness,flowers102_Improved-Relative-Robustness,imagenet-v2_Relative-Robustness,imagenet-v2_Improved-Relative-Robustness,SAR_Relative-Robustness,WAR_Improved-Relative-Robustness
OpenCLIP- ViT-H/14-quickgelu@336px,1.0076931530937465,1.0076931530937465,1.0292590844738085,1.0292590844738085,0.9954118873826902,0.9954118873826902,0.9913276231263383,0.9913276231263383,0.994428394552208,0.994428394552208,0.9886769964243146,0.9886769964243146,0.9783281733746129,0.9783281733746129,0.9627574120052578,0.9627574120052578,0.8817457206324317,0.8817457206324317,0.9954381497984298,0.9954381497984298,0.985235816814764,0.985235816814764,0.9914289369323269,0.9914289369323269,0.9898806434872859,0.9898806434872859,1.0023006134969326,1.0023006134969326,0.9832603656966263,0.9832603656966263,0.985144864752785,0.9692459462683021
M2-Encoder-1B ,0.9976923076923078,0.9976923076923078,1.0,1.0,0.9817543859649123,0.9817543859649123,0.9913083787229111,0.9913083787229111,0.9939570017431726,0.9939570017431726,0.9869772998805256,0.9869772998805256,0.9825911673080446,0.9825911673080446,1.0257425742574258,1.0072454298576656,0.8676912206323971,0.8676912206323971,0.9864730702407545,0.9864730702407545,0.9840451248992749,0.9840451248992749,0.996418215930411,0.996418215930411,0.9909560723514212,0.9909560723514212,1.008070774483936,1.008070774483936,0.983075157773953,0.983075157773953,0.9851168501254299,0.9680183050307297
M2-Encoder-10B ,0.9979198598642435,0.9979198598642435,1.0154718927282105,1.0154718927282105,0.992108108108108,0.992108108108108,0.9858000461787115,0.9858000461787115,0.9926724137931036,0.9926724137931036,0.9853923677952666,0.9853923677952666,0.9869488536155202,0.9869488536155202,0.9788639365918097,0.9787864092408668,0.8753799392097265,0.8753799392097265,0.9850388305162174,0.9850388305162174,0.9819522912743252,0.9819522912743252,1.0017960762641616,1.0017960762641616,0.9889547413793104,0.9889547413793104,0.9752475247524752,0.9752475247524752,0.9810848400556328,0.9810848400556328,0.9816421148084549,0.9676592408890932
OpenCLIP-ViT-B/32@256px,0.9990077177508269,0.9990077177508269,1.0003036283588886,1.0003036283588886,0.982383303411131,0.982383303411131,0.9818026380068393,0.9818026380068393,0.9863900044622936,0.9863900044622936,0.9805961754780651,0.9805961754780651,1.0,1.0,0.9440389294403893,0.9440389294352362,0.9215253703120075,0.9215253671999538,0.9883439122908251,0.9883439122908251,0.9886176179478721,0.9886176179478721,0.985762400489896,0.985762400489896,0.980286998115669,0.980286998115669,0.9998706506273444,0.9998706506273444,0.9666880204996797,0.9666880204996797,0.9803744911461152,0.967558543543856
MetaCLIP- ViT-B/16 (2.5B),0.9966865473823723,0.9966865473823723,1.0,0.9999999999999971,0.973360655737705,0.973360655737705,1.0015589399208538,1.0015589399208538,0.9944389924762841,0.9944389924762841,0.9855795895729339,0.9855795895729339,0.9948403740728797,0.9948403740728797,0.9980392156862744,0.9980391917623315,0.866382806163828,0.866382806163828,0.9888556985294116,0.9888556985294116,0.9923537234042554,0.9923537234042554,1.003822738213224,1.003822738213224,0.9907940161104718,0.9907940161104718,1.006118648576749,1.006118648576749,0.975253612050415,0.975253612050415,0.9845390371931771,0.9666771634041703
SigLIP-ViT-SO400M,0.9972778745644599,0.9972778745644599,1.0567905240954079,1.0567905240954079,0.9910159716060337,0.9910159716060337,0.9912649968427699,0.9912649968427699,0.9919168591224018,0.9919168591224018,0.9846397659392905,0.9846397659392905,0.9828314100759922,0.9828314100759922,0.9581950895819509,0.9581950895819509,0.8444846292947559,0.8444846292947559,0.9910342619276337,0.9910342619276337,0.9814964883846569,0.9814964883846569,0.9913076341647771,0.9913076341647771,0.9870404654853213,0.9870404654853213,0.9892636373495283,0.9892636373495283,0.9774011299435028,0.9774011299435028,0.9810640492252323,0.965756863363779
CoCa-ViT-L/14 (laion2b_s13b_b90k),0.9964858335163628,0.9964858335163628,1.0077888360017309,1.0077888360017309,0.990512129380054,0.990512129380054,0.9960073009354324,0.9960073009354324,0.9968085106382979,0.9968085106382979,0.9867812293456708,0.9867812293456708,0.9770004791566843,0.9770004791566843,0.9817880794701985,0.9817880794545896,0.8673145206503456,0.8673145206503456,0.9871404399323181,0.9871404399323181,0.9941194676570719,0.9941194676570719,0.9930678265597391,0.9930678265597391,0.9942568029536442,0.9942568029536442,1.0089994706193752,1.0089994706193752,0.9871983519717482,0.9871983519717482,0.9843512852525782,0.9653420212799639
CLIPA-ViT-H/14@336px (LAION-2B),1.0015447423590422,1.0015447423590422,1.0115625,1.0115625,0.998409669211196,0.998409669211196,0.995648863265528,0.995648863265528,0.99735141434474,0.99735141434474,0.9881664333884718,0.9881664333884718,0.9857545839210154,0.9857545839210154,0.9694656488549619,0.9694656488031764,0.8703942652329749,0.8703942652329749,0.9931733098436469,0.9931733098436469,0.9901506373117033,0.9901506373117033,0.9986040609137056,0.9986040609137056,0.9918514560512958,0.9918514560512958,0.9957558357258769,0.9957558357258769,0.9831663884251531,0.9831663884251531,0.9847333205899542,0.9651532417193618
EVA-CLIP-8B,1.0113897711094075,1.0113897711094075,0.9877585479105109,0.9877585479105109,0.9971530999578236,0.9971530999578236,0.9927536231884059,0.9927536231884059,0.9959535173272464,0.9959535173272464,0.9912627169359665,0.9912627169359665,0.9826271186440677,0.9826271186440677,0.9591701244813278,0.9591701244813278,0.9003922500891478,0.9003922500891478,0.9939037433155081,0.9939037433155081,0.9794050343249427,0.9794050343249427,0.9914755672949933,0.9914755672949933,1.0032641336989163,1.0032641336989163,0.984792198746227,0.984792198746227,0.9831054939386124,0.9831054939386124,0.9836271293975403,0.9649023134704606
EVA-02-CLIP-B/16,1.014745610085547,1.014745610085547,1.0094730609828302,1.0094730609828302,0.9812977099236642,0.9812977099236642,0.9941427699816962,0.9941427699816962,1.0044454082185839,1.0044454082185839,0.9917023554603854,0.9917023554603854,0.9889963953708973,0.9889963953708973,0.9326923076923077,0.9326828635112466,0.8805416434798738,0.8805416434798738,0.9904164289788933,0.9904164289788933,0.9849298458340551,0.9849298458340551,1.0069787728990987,1.0069787728990987,0.9926491376873057,0.9926491376873057,0.9918399578836535,0.9918399578836535,0.9901536625391616,0.9901536625391616,0.9836670044678636,0.9607379846555753
CoCa-ViT-L/14 (laion2b_s13b_b90k + mscoco),0.999447757897062,0.999447757897062,0.9814094980564475,0.9814094980564475,0.9866772044710399,0.9866772044710399,1.0018750732450485,1.0018750732450485,0.9940944881889765,0.9940944881889765,0.9901580260604381,0.9901580260604381,0.9633617226418127,0.9633617226418127,1.0280970625798211,1.028056226286248,0.8391180964854834,0.8391180964854834,0.9897206433667917,0.9897206433667917,0.9978744277305429,0.9978744277305429,0.998180545836249,0.998180545836249,0.9940203031567237,0.9940203031567237,1.0173263839977462,1.0173263839977462,0.9773497688751925,0.9773497688751925,0.9839140668392916,0.9598784808429761
EVA-02-CLIP-L/14,1.0015447423590422,1.0015447423590422,0.9932914644590352,0.9932914644590352,0.9951381215469614,0.9951381215469614,0.9919852702263621,0.9919852702263621,0.993079216354344,0.993079216354344,0.9919759277833501,0.9919759277833501,0.9731182795698924,0.9731182795698924,0.916597853014038,0.9165978530012048,0.8985412012090945,0.8985412012090945,0.9937732138955647,0.9937732138955647,0.9873789257411212,0.9873789257411212,0.9936423841059602,0.9936423841059602,1.0020188425302827,1.0020188425302827,1.0102650727650728,1.0102650727650728,0.9869755963805867,0.9869755963805867,0.9819550741293803,0.9574850326769759
OpenCLIP-ViT-L/14 (datacomp_xl_s13b_b90k),0.9951509808243333,0.9951509808243333,1.0133779264214047,1.0133779264214047,0.9723320158102766,0.9723320158102766,0.9865934065934066,0.9865934065934066,0.9880012630249447,0.9880012630249447,0.9794839521711767,0.9794839521711767,0.9824324324324326,0.9824324324324326,0.9435096153846154,0.9435096153846154,0.8593354194605871,0.8593354194605871,0.9877035918455398,0.9877035918455398,0.9783838676918611,0.9783838676918611,0.9772106986899564,0.9772106986899564,0.9844110071844925,0.9844110071844925,1.0,1.0,0.9760387811634349,0.9760387811634349,0.9749309972465642,0.9556382756857129
SigLIP-ViT-L/16@256px,1.0002190100744635,1.0002190100744635,0.999280704909189,0.999280704909189,0.984612096601838,0.984612096601838,0.9903825603761488,0.9903825603761488,0.9960379522468982,0.9960379522468982,0.9792448112028006,0.9792448112028006,0.9713597050900327,0.9713597050900327,0.9782898495524662,0.9782898495524662,0.8488432770916681,0.8488432770916681,0.9902818270165208,0.9902818270165208,0.973225491563241,0.973225491563241,0.9793192035966602,0.9793192035966602,0.9879518072289156,0.9879518072289156,0.9979695431472081,0.9979695431472081,0.9664659184232137,0.9664659184232137,0.9762322505414178,0.9555604062700921
OpenCLIP-ViT-H/14-quickgelu,0.9950323974082074,0.9950323974082074,1.0109113262640235,1.0109113262640235,0.9950929212779286,0.9950929212779286,0.988160585512862,0.988160585512862,0.9944029850746268,0.9944029850746268,0.9881309195540103,0.9881309195540103,0.9841337299900835,0.9841337299900835,0.9155935050391937,0.9155935050391937,0.8728497706422018,0.8728497706422018,0.9946706459177148,0.9946706459177148,0.9837845265906281,0.9837845265906281,0.9949677419354839,0.9949677419354839,0.9889380530973451,0.9889380530973451,0.9936285097192226,0.9936285097192226,0.973109243697479,0.973109243697479,0.9782271241147342,0.9543926487666106
ViT-L/14,0.9873062233206021,0.9873062233206021,1.0029004189494037,1.0029004189494037,0.967737789203085,0.967737789203085,0.9798165137614678,0.9798165137614678,0.9947599187252699,0.9947599187252699,0.9716668873295379,0.9716668873295379,0.9711607786589763,0.9711607786589763,0.937440758293839,0.9374407519583486,0.878284334611561,0.878284334611561,0.9860730343239391,0.9860730343239391,0.9667729484812887,0.9667729484812887,0.9914483507533597,0.9914483507533597,0.983225426721601,0.983225426721601,0.984201213346815,0.984201213346815,0.9647766323024054,0.9647766323024054,0.9711714152522102,0.953560550176438
SigLIP-ViT-SO400M@336px,0.9990139147584093,0.9990139147584093,0.9983149509803921,0.9983149509803921,0.9907475554620966,0.9907475554620966,0.9928743581682908,0.9928743581682908,0.9908874391633012,0.9908874391633012,0.9832869080779945,0.9832869080779945,0.9790047716428085,0.9790047716428085,0.9680798821411033,0.9680798821411033,0.8391403865717192,0.8391403865717192,0.9914167638020557,0.9914167638020557,0.9774720086334817,0.9774720086334817,0.9896691673840855,0.9896691673840855,0.9897918600026513,0.9897918600026513,0.9922153746350957,0.9922153746350957,0.9724507115811464,0.9724507115811464,0.9769577368669753,0.9529621100022506
MetaCLIP- ViT-L/14 (400M),0.9973579920739761,0.9973579920739761,1.0343087790110999,1.0343087790110999,0.9766068052930056,0.9766068052930056,0.9928749151775617,0.9928749151775617,0.9886872998932764,0.9886872998932764,0.9783492979923896,0.9783492979923896,0.9691764328142559,0.9691764328142559,0.9197901049475262,0.919790104947473,0.8372198667474257,0.8372198667474257,0.9830203530866973,0.9830203530866973,0.9881647709806334,0.9881647709806334,1.0028555887952133,1.0028555887952133,0.9904279279279279,0.9904279279279279,0.9720864419861075,0.9720864419861075,0.9673679690854444,0.9673679690854444,0.9732196363875028,0.9493805164034161
ViT-B/32,0.9931428571428572,0.9931428571428572,1.0645851154833192,1.0645851154813695,0.9671219018715225,0.9671219018715225,0.9744897959183674,0.9744897959183674,0.9846839638815866,0.9846839638815866,0.96262419176786,0.96262419176786,0.9540804728347351,0.9540804728347345,0.899696048632219,0.8989065843963421,0.841168996188056,0.8411689923109261,0.9784854746566185,0.9784854746566185,0.9506026943984873,0.950602694398487,1.0028717294192724,1.0028717294192724,0.9734245703373647,0.9734245703373647,0.9817716179572161,0.9817716179572161,0.964279335595642,0.964279335595642,0.9662019177390082,0.9487552811418776
OpenCLIP-ViT-B/16,0.9939507259128905,0.9939507259128905,0.9782532444756226,0.9782532444756226,0.9347826086956521,0.9347826086956521,0.9784651992861392,0.9784651992861392,0.9731601731601731,0.9731601731601731,0.9699074074074074,0.9699074074074074,0.9862021386685065,0.9862021386685065,0.9870129870129871,0.9870129868725024,0.8374091209517515,0.8374091209517515,0.9830527623997288,0.9830527623997288,0.9644817565385858,0.9644817565385858,0.9976676384839651,0.9976676384839651,0.9768406004288777,0.9768406004288777,0.993509074049543,0.993509074049543,0.9606537530266344,0.9606537530266344,0.9676899460332309,0.9479223254519861
MetaCLIP- ViT-B/32 (400M),1.0033734397840999,1.0033734397840999,1.0017588430721125,1.0017588430721105,0.967764739148876,0.967764739148876,0.9990529021783251,0.9990529021783251,0.9886158701532912,0.9886158701532912,0.9739289525842354,0.9739289525842354,0.9839076107535024,0.9839076107535024,0.9063545150501673,0.906353204699813,0.8585005279831046,0.8585003808502645,0.9814814814814815,0.9814814814814815,0.9909960607765896,0.9909960607765896,0.9850030921459492,0.9850030921459492,0.9843652282676673,0.9843652282676673,0.9910175438596491,0.9910175438596491,0.9616052814454482,0.9616052814454482,0.9718484059122998,0.9449989721431687
SigLIP-ViT-L/16@384px,1.0062417871222078,1.0062417871222078,1.0018958979662185,1.0018958979662185,0.98804738734927,0.98804738734927,0.9905013192612137,0.9905013192612137,0.9920174165457185,0.9920174165457185,0.9789189851697512,0.9789189851697512,0.9728199320498301,0.9728199320498301,0.970964207450694,0.970964207450694,0.8012413598532938,0.8012413598532938,0.9917673473751738,0.9917673473751738,0.9718194254445967,0.9718194254445967,0.9893736717089637,0.9893736717089637,0.986801889413726,0.986801889413726,0.9988779174147216,0.9988779174147216,0.9667332002661344,0.9667332002661344,0.9738681162927676,0.944735427002363
OpenCLIP-ViT-G/14,0.9968177329090312,0.9968177329090312,1.0090530248598937,1.0090530248598937,0.9946151409566044,0.9946151409566044,0.9871504157218444,0.9871504157218444,0.9854251861172276,0.9854251861172276,0.9779823361114567,0.9779823361114567,0.9761767253826161,0.9761767253826161,0.9071334956000751,0.9071334956000751,0.8283907872948968,0.8283907872948968,0.9888329319027807,0.9888329319027807,0.9791189931350113,0.9791189931350113,0.9916126572626763,0.9916126572626763,0.9951884522854851,0.9951884522854851,1.0012322858903264,1.0012322858903264,0.9713935431140173,0.9713935431140173,0.9726749139029296,0.9420412610015526
