Model,imagenet-r_Relative-Robustness,imagenet-r_Improved-Relative-Robustness,food101_Relative-Robustness,food101_Improved-Relative-Robustness,oxford_pets_Relative-Robustness,oxford_pets_Improved-Relative-Robustness,fgvc_aircraft_Relative-Robustness,fgvc_aircraft_Improved-Relative-Robustness,imagenet_Relative-Robustness,imagenet_Improved-Relative-Robustness,dtd_Relative-Robustness,dtd_Improved-Relative-Robustness,stanford_cars_Relative-Robustness,stanford_cars_Improved-Relative-Robustness,imagenet-v2_Relative-Robustness,imagenet-v2_Improved-Relative-Robustness,imagenet-sketch_Relative-Robustness,imagenet-sketch_Improved-Relative-Robustness,sun397_Relative-Robustness,sun397_Improved-Relative-Robustness,caltech101_Relative-Robustness,caltech101_Improved-Relative-Robustness,imagenet-a_Relative-Robustness,imagenet-a_Improved-Relative-Robustness,ucf101_Relative-Robustness,ucf101_Improved-Relative-Robustness,flowers102_Relative-Robustness,flowers102_Improved-Relative-Robustness,eurosat_Relative-Robustness,eurosat_Improved-Relative-Robustness,SAR_Relative-Robustness,WAR_Improved-Relative-Robustness
CLIPA-ViT-H/14@336px (DataComp-1B),0.5100277362918711,0.5100277362918711,0.4596094333582329,0.4596094333582329,0.6350646641635378,0.6350646641635378,0.20982986767485823,0.20982986767485823,0.427060270602706,0.427060270602706,0.37066179570043556,0.37066179570043556,0.3473338975878121,0.3473338975878121,0.3720222339862361,0.3720222339862361,0.3646470261256254,0.3646470261256254,0.5000657981313331,0.5000657981313331,0.8634706727051806,0.8634706727051806,0.07439744220363995,0.07439744220363995,0.5016900676027042,0.5016900676027042,0.6397633136094675,0.6397633136094675,0.5156272504680973,0.5156272504680973,0.4527514313474492,0.33533247519963827
OpenCLIP-ViT-L/14 (datacomp_xl_s13b_b90k),0.4320879120879121,0.4320879120879121,0.4150577068277424,0.4150577068277424,0.5493105988843279,0.5493105988843279,0.2506009615384615,0.2506009615384615,0.38124606670862177,0.38124606670862177,0.37222222222222223,0.37222222222222223,0.17124238863369298,0.17124238863369298,0.3288088642659279,0.3288088642659279,0.27578703032061513,0.27578703032061513,0.4489629930866206,0.4489629930866206,0.7422305488208066,0.7422305488208066,0.08582923558337058,0.08582923558337058,0.43354257641921395,0.43354257641921395,0.5398208369125047,0.5398208369125047,0.5352564102564101,0.5352564102564101,0.39746709017123005,0.33072460303479134
OpenCLIP-ViT-H/14-quickgelu,0.44257883973738027,0.44257883973738027,0.46162865060754643,0.46162865060754643,0.5878938640132669,0.5878938640132669,0.22760358342665177,0.22760358342665177,0.4137393597889941,0.4137393597889941,0.3534494970959059,0.3534494970959059,0.3116517018166632,0.3116517018166632,0.35332902391725923,0.35332902391725923,0.28913013604507354,0.28913013604507354,0.4258198854763144,0.4258198854763144,0.8167386609071274,0.8167386609071274,0.08715596330275228,0.08715596330275228,0.39703225806451614,0.39703225806451614,0.6576673866090713,0.6576673866090713,0.4928538497003228,0.4928538497003228,0.4212181773672563,0.3235283199377797
CLIPA-ViT-L/14,0.5030270270270271,0.5030270270270271,0.4332286364128669,0.4332286364128669,0.6004840067340067,0.6004840067340067,0.21879286694101507,0.21879286694101505,0.4297562201558181,0.4297562201558181,0.38289909313372683,0.38289909313372683,0.358785156667736,0.358785156667736,0.38757883191664383,0.38757883191664383,0.3654342218400688,0.3654342218400688,0.5081901181525241,0.5081901181525241,0.8726772952171523,0.8726772952171523,0.08586956521739131,0.08586956521739131,0.47787495105077665,0.47787495105077665,0.6609223902801885,0.6609223902801885,0.4224894377640559,0.4224894377640559,0.4472006545673999,0.32198744187999734
EVA-01-CLIP-g/14,0.4088360618972864,0.4088360618972864,0.3208872046366473,0.3208872046366473,0.6053361792956243,0.6053361792956243,0.2216386554621849,0.22163860065268362,0.3756898817345598,0.3756898817345598,0.3477088948787062,0.3477088948787062,0.31191222570532917,0.31191222570532917,0.3420899854862119,0.3420899854862119,0.18945374171139878,0.18945374171139878,0.41543810848400553,0.41543810848400553,0.7760583618879185,0.7760583618879185,0.07182662538699691,0.07182662538699691,0.4127005527841445,0.4127005527841445,0.5584073251942286,0.5584073251942286,0.5090051457975987,0.5090051457975987,0.39113259668952277,0.3166039026472911
EVA-02-CLIP-L/14+ ,0.4513217279174726,0.4513217279174726,0.3511962758471365,0.3511962758471365,0.6303191489361702,0.6303191489361702,0.21993670886075947,0.21993670886045036,0.4277507181216436,0.4277507181216436,0.27679127725856695,0.27679127725856695,0.3463553033609777,0.3463553033609777,0.3860319192470331,0.3860319192470331,0.22354305595824875,0.22354305595824875,0.4594558548946386,0.4594558548946386,0.8536585365853658,0.8536585365853658,0.07989594946116685,0.07989594946116685,0.5335257840178455,0.5335257840178455,0.6708451796329801,0.6708451796329801,0.45329441201000836,0.45329441201000836,0.42426145680733424,0.3108316429277328
CLIPA-ViT-L/14@336px,0.4902341642386964,0.4902341642386964,0.4133535004321521,0.4133535004321521,0.5942730813769871,0.5942730813769871,0.21237113402061855,0.21237113402061852,0.41738694726293374,0.41738694726293374,0.3702452636216772,0.3702452636216772,0.3377858516777089,0.3377858516777089,0.36709553791404326,0.36709553791404326,0.3529998574889554,0.3529998574889554,0.48801392794964504,0.48801392794964504,0.8677376760563381,0.8677376760563381,0.0754643460189635,0.0754643460189635,0.46105398457583546,0.46105398457583546,0.6404994436889604,0.6404994436889604,0.40341568562427454,0.40341568562427454,0.4327953601298526,0.30808496901175897
EVA-02-CLIP-B/16,0.37388651616839536,0.37388651616839536,0.30564746149458066,0.30564746149458066,0.5620730781741299,0.5620730781741299,0.21394230769230768,0.21394014137242512,0.382093147751606,0.382093147751606,0.32593435780686775,0.32593435780686775,0.21284987277353692,0.21284987277353692,0.3449201849917947,0.3449201849917947,0.16282695305733588,0.16282695305733588,0.4137687305626237,0.4137687305626237,0.7967131922557407,0.7967131922557407,0.08310146540530515,0.08310146540530515,0.44693224774643786,0.44693224774643786,0.5830481705712028,0.5830481705712028,0.48845470692717585,0.48845470692717585,0.37974615955860275,0.307432935263405
OpenCLIP-ViT-B/32@256px,0.3851978505129458,0.3851978505129458,0.36687824581650313,0.36687824581650313,0.4923025435073628,0.4923025435073628,0.2173560421735604,0.21735604217237395,0.343363329583802,0.343363329583802,0.37882041962663143,0.37882041962663143,0.1363330341113106,0.1363330341113106,0.3076553491351698,0.3076553491351698,0.2448036951501155,0.2448036951501155,0.38875199304246993,0.38875199304246993,0.7656008820286658,0.7656008820286658,0.13835486920895051,0.13835486874171674,0.3476729944886712,0.3476729944886712,0.4659164403052645,0.4659164403052645,0.4428419614391984,0.4428419614391984,0.3614566433420414,0.3040563463404981
MetaCLIP- ViT-H/14 (2.5B),0.4876662376662377,0.4876662376662377,0.40064970221981594,0.40064970221981594,0.6192670157068063,0.6192670157068063,0.2553816046966732,0.2553816046966732,0.41542473919523104,0.41542473919523104,0.3096614368290669,0.3096614368290669,0.29925464456558015,0.29925464456558015,0.3718796383753879,0.3718796383753879,0.343116404366936,0.343116404366936,0.49607432609264585,0.49607432609264585,0.8359123146357189,0.8359123146357189,0.08970276008492568,0.08970276008492568,0.48846590192865247,0.48846590192865247,0.5500942951438,0.5500942951438,0.35991883877009523,0.35991883877009523,0.4214979906851715,0.30099228490280433
