Model,dtd_Relative-Robustness,dtd_Improved-Relative-Robustness,sun397_Relative-Robustness,sun397_Improved-Relative-Robustness,imagenet_Relative-Robustness,imagenet_Improved-Relative-Robustness,imagenet-a_Relative-Robustness,imagenet-a_Improved-Relative-Robustness,imagenet-r_Relative-Robustness,imagenet-r_Improved-Relative-Robustness,food101_Relative-Robustness,food101_Improved-Relative-Robustness,ucf101_Relative-Robustness,ucf101_Improved-Relative-Robustness,flowers102_Relative-Robustness,flowers102_Improved-Relative-Robustness,eurosat_Relative-Robustness,eurosat_Improved-Relative-Robustness,imagenet-v2_Relative-Robustness,imagenet-v2_Improved-Relative-Robustness,oxford_pets_Relative-Robustness,oxford_pets_Improved-Relative-Robustness,stanford_cars_Relative-Robustness,stanford_cars_Improved-Relative-Robustness,caltech101_Relative-Robustness,caltech101_Improved-Relative-Robustness,imagenet-sketch_Relative-Robustness,imagenet-sketch_Improved-Relative-Robustness,fgvc_aircraft_Relative-Robustness,fgvc_aircraft_Improved-Relative-Robustness,SAR_Relative-Robustness,WAR_Improved-Relative-Robustness
CLIPA-ViT-L/14,0.9234201813732548,0.9234201813732548,0.9720730397422127,0.9720730397422127,0.951244031163609,0.951244031163609,0.6213315217391304,0.6213315217391304,0.9663783783783784,0.9663783783783784,0.9681576952236544,0.9681576952236544,0.9744158726014881,0.9744158726014881,0.9947929580957103,0.9947929580957103,1.0,1.0,0.9339182890046615,0.9339182890046615,0.9839015151515151,0.9839015151515151,0.9837450540049192,0.9837450540049192,0.9918636613523913,0.9918636613523913,0.9509888220120378,0.9509888220120378,0.8991769547325102,0.8991769547325101,0.9410271983050316,0.8821615408956907
EVA-02-CLIP-L/14,0.9345351043643264,0.9345351043643264,0.9814266487213998,0.9814266487213998,0.9643931795386158,0.9643931795386158,0.6911552109344198,0.6911552109344198,0.9631755659049064,0.9631755659049064,0.9670089578326414,0.9670089578326414,0.9663576158940397,0.9663576158940397,1.0005197505197505,1.0005197505197505,1.0,1.0,0.9470797916095421,0.9470797916095421,0.985519591141397,0.985519591141397,0.9682872928176796,0.9682872928176796,0.9867593512082093,0.9867593512082093,0.9283827414147343,0.9283827414147343,0.7935590421139554,0.7935590421028449,0.9385439896010411,0.8808316846432859
CLIPA-ViT-L/14@336px,0.925686591276252,0.925686591276252,0.9746886299718762,0.9746886299718762,0.9457597394463234,0.9457597394463234,0.606182621119626,0.606182621119626,0.9632027624905579,0.9632027624905579,0.963267070008643,0.963267070008643,0.9570694087403598,0.9570694087403598,0.9883792805043887,0.9883792805043887,0.9869010114408887,0.9869010114408887,0.9318368464275937,0.9318368464275937,0.9850510580061059,0.9850510580061059,0.9808719811925626,0.9808719811925626,0.9949383802816902,0.9949383802816902,0.9392902949978623,0.9392902949978623,0.9189003436426117,0.9189003436426116,0.9374684013031562,0.8794784301444505
MetaCLIP- ViT-H/14 (2.5B),0.8872832369942196,0.8872832369942196,0.9591729913635173,0.9591729913635173,0.9405116741182316,0.9405116741182316,0.6337579617834395,0.6337579617834395,0.9637494637494638,0.9637494637494638,0.950081212777477,0.950081212777477,0.9649565107777638,0.9649565107777638,0.9435407826496934,0.9435407826496934,1.0,1.0,0.9180947240588315,0.9180947240588315,0.9831413612565445,0.9831413612565445,0.9600622983646679,0.9600622983646679,0.9733505265420158,0.9733505265420158,0.9435701120090741,0.9435701120090741,0.9140900195694717,0.9140900195694717,0.9290241917342941,0.8790844310757314
EVA-02-CLIP-L/14+ ,0.928816199376947,0.928816199376947,0.9810616164310483,0.9810616164310483,0.9636568002997378,0.9636568002997378,0.6885916016350799,0.6885916016350799,0.958736299161831,0.958736299161831,0.9602684854389953,0.9602684854389953,0.9566985959847789,0.9566985959847789,0.9899198759369346,0.9899198759369346,0.9959688629413401,0.9959688629413401,0.9553948983767563,0.9553948983767563,0.9887234042553191,0.9887234042553191,0.9636621562636404,0.9636621562636404,0.9879704226906522,0.9879704226906522,0.9108437228182081,0.9108437228182081,0.7903481012658227,0.7903481012647119,0.9347107361918062,0.8782220692558018
OpenCLIP- ViT-H/14-quickgelu@336px,0.9296369265409513,0.9296369265409513,0.959133367929424,0.959133367929424,0.9481525625744933,0.9481525625744933,0.6162289298314386,0.6162289298314386,0.9491434689507494,0.9491434689507494,0.9730532569488648,0.9730532569488648,0.9414097479851605,0.9414097479851605,0.9945223488168273,0.9945223488168273,0.9575271354412458,0.9575271354412458,0.9148853978882308,0.9148853978882308,0.9769913330581923,0.9769913330581923,0.9815432742440041,0.9815432742440041,1.004615891856248,1.004615891856248,0.9177033492822965,0.9177033492822965,0.9009785307433913,0.9009785307433913,0.9310350348061011,0.8697922965805687
OpenCLIP-ViT-H/14-quickgelu,0.9403598243377248,0.9403598243377248,0.9547110879750129,0.9547110879750129,0.9449706270231387,0.9449706270231387,0.6214162844036697,0.6214162844036697,0.9443547519104509,0.9443547519104509,0.9704753783841399,0.9704753783841399,0.9464516129032258,0.9464516129032258,0.9856371490280778,0.9856371490280778,1.0,1.0,0.9088558500323206,0.9088558500323206,0.9731550580431177,0.9731550580431177,0.9807893088327416,0.9807893088327416,0.9930885529157667,0.9930885529157667,0.9190600522193212,0.9190600522193212,0.832026875699888,0.832026875699888,0.9276901609139064,0.8677625265582181
MetaCLIP- ViT-L/14 (2.5B),0.9291361639824305,0.9291361639824305,0.9551641313050441,0.9551641313050441,0.9292750694619852,0.9292750694619852,0.590245935806586,0.590245935806586,0.9582652282881116,0.9582652282881116,0.9394501418284966,0.9394501418284966,0.9616016167740304,0.9616016167740304,0.9561849431130476,0.9561849431130476,1.0,1.0,0.9028390297684675,0.9028390297684675,0.9737036645897138,0.9737036645897138,0.945583596214511,0.945583596214511,0.979318474067724,0.979318474067724,0.932414793328499,0.932414793328499,0.8654738237243207,0.8654738237243207,0.921243774150198,0.8634255492396787
OpenCLIP-ViT-B/32@256px,0.9481248967454154,0.9481248967454154,0.9376721263951298,0.9376721263951298,0.9067772778402698,0.9067772778402698,0.687992436180271,0.6879924338568738,0.9231802638006841,0.9231802638006841,0.9341027120600115,0.9341027120600115,0.9352418860992041,0.9352418860992041,0.9640408744017591,0.9640408744017591,0.9858812813116744,0.9858812813116744,0.8834080717488789,0.8834080717488789,0.9504685408299867,0.9504685408299867,0.9175269299820465,0.9175269299820465,0.9865490628445425,0.9865490628445425,0.9097657538766084,0.9097657538766084,0.7793998377939982,0.7793998377897439,0.910008796794032,0.8627763428815813
CLIPA-ViT-H/14@336px (LAION-2B),0.9183356840620591,0.9183356840620591,0.9712797221480095,0.9712797221480095,0.9385417992110956,0.9385417992110956,0.5637275985663083,0.5637275985663083,0.9599695420428587,0.9599695420428587,0.953864787491742,0.953864787491742,0.9667512690355331,0.9667512690355331,0.9710398202471603,0.9710398202471603,1.01359375,1.01359375,0.9187534780189206,0.9187534780189206,0.9849560334781227,0.9849560334781227,0.9856870229007634,0.9856870229007634,0.9939313693037626,0.9939313693037626,0.927433371958285,0.927433371958285,0.8566581849024598,0.8566581848567001,0.9283015622244721,0.862483150700053
